DataStructure,LoadFactor,Operation,Elements,TimeMS
HashSet,20,Insert,1000,0.364188
HashSet,20,Contains,1000,0.000111111
HashSet,20,Remove,1000,0.000130022
STL,20,Insert,1000,8.604e-05
STL,20,Contains,1000,3.1702e-05
STL,20,Remove,1000,5.4067e-05
HashSet,20,Insert,10000,3.95108
HashSet,20,Contains,10000,0.000131665
HashSet,20,Remove,10000,0.000139474
STL,20,Insert,10000,8.55865e-05
STL,20,Contains,10000,3.02673e-05
STL,20,Remove,10000,6.06316e-05
HashSet,20,Insert,100000,38.6429
HashSet,20,Contains,100000,0.000114046
HashSet,20,Remove,100000,0.000135026
STL,20,Insert,100000,7.95634e-05
STL,20,Contains,100000,3.23711e-05
STL,20,Remove,100000,5.403e-05
HashSet,20,Insert,1000000,388.821
HashSet,20,Contains,1000000,0.000122495
HashSet,20,Remove,1000000,0.000139869
STL,20,Insert,1000000,7.56764e-05
STL,20,Contains,1000000,3.06298e-05
STL,20,Remove,1000000,5.09282e-05
HashSet,70,Insert,1000,0.307985
HashSet,70,Contains,1000,0.000106297
HashSet,70,Remove,1000,0.000124213
STL,70,Insert,1000,7.6629e-05
STL,70,Contains,1000,3.2042e-05
STL,70,Remove,1000,5.1393e-05
HashSet,70,Insert,10000,3.20364
HashSet,70,Contains,10000,0.000111768
HashSet,70,Remove,10000,0.000128369
STL,70,Insert,10000,7.45856e-05
STL,70,Contains,10000,2.97569e-05
STL,70,Remove,10000,5.02007e-05
HashSet,70,Insert,100000,35.7326
HashSet,70,Contains,100000,0.000122845
HashSet,70,Remove,100000,0.000137674
STL,70,Insert,100000,7.4854e-05
STL,70,Contains,100000,3.00108e-05
STL,70,Remove,100000,5.16439e-05
HashSet,70,Insert,1000000,376.773
HashSet,70,Contains,1000000,0.000130736
HashSet,70,Remove,1000000,0.000146205
STL,70,Insert,1000000,7.48853e-05
STL,70,Contains,1000000,3.23573e-05
STL,70,Remove,1000000,5.15575e-05
HashSet,120,Insert,1000,0.321262
HashSet,120,Contains,1000,0.000115587
HashSet,120,Remove,1000,0.00012927
STL,120,Insert,1000,7.7342e-05
STL,120,Contains,1000,3.3539e-05
STL,120,Remove,1000,6.6036e-05
HashSet,120,Insert,10000,3.25686
HashSet,120,Contains,10000,0.000115229
HashSet,120,Remove,10000,0.000130263
STL,120,Insert,10000,7.61691e-05
STL,120,Contains,10000,3.29288e-05
STL,120,Remove,10000,6.51826e-05
HashSet,120,Insert,100000,37.464
HashSet,120,Contains,100000,0.000130452
HashSet,120,Remove,100000,0.000143695
STL,120,Insert,100000,7.63042e-05
STL,120,Contains,100000,3.3847e-05
STL,120,Remove,100000,6.64813e-05
HashSet,120,Insert,1000000,376.265
HashSet,120,Contains,1000000,0.000134326
HashSet,120,Remove,1000000,0.000147845
STL,120,Insert,1000000,7.98957e-05
STL,120,Contains,1000000,3.58817e-05
STL,120,Remove,1000000,6.85614e-05
